State,Sex,age_group,deaths,pop_state,population
Georgia,Female,01-04 years,0,256171,7620035
Georgia,Female,05-14 years,0,710498,20518881
Georgia,Female,15-24 years,14,716137,20981911
Georgia,Female,25-34 years,46,747447,22449525
Georgia,Female,35-44 years,92,725270,21276445
Georgia,Female,45-54 years,226,717798,20563411
Georgia,Female,55-64 years,598,689954,21973114
Georgia,Female,65-74 years,1085,515765,17208126
Georgia,Female,75-84 years,1336,249311,8832725
Georgia,Female,85 years and over,1483,5574375,171003046
Georgia,Male,0-.99 years,0,63206,1893263
Georgia,Male,01-04 years,0,266527,7968874
Georgia,Male,05-14 years,0,738929,21520591
Georgia,Male,15-24 years,14,720147,21603341
Georgia,Male,25-34 years,49,714451,22791780
Georgia,Male,35-44 years,126,678754,21420401
Georgia,Male,45-54 years,373,687406,20492996
Georgia,Male,55-64 years,873,643492,21075426
Georgia,Male,65-74 years,1534,437179,15361155
Georgia,Male,75-84 years,1615,190132,6989539
Georgia,Male,85 years and over,983,5236723,165470228
Hawaii,Female,0-.99 years,0,7912,1809703
Hawaii,Female,01-04 years,0,33166,7620035
Hawaii,Female,05-14 years,0,83899,20518881
Hawaii,Female,15-24 years,0,73162,20981911
Hawaii,Female,25-34 years,1,92390,22449525
Hawaii,Female,35-44 years,2,91726,21276445
Hawaii,Female,45-54 years,5,85592,20563411
Hawaii,Female,55-64 years,20,93482,21973114
Hawaii,Female,65-74 years,23,82743,17208126
Hawaii,Female,75-84 years,28,42858,8832725
Hawaii,Female,85 years and over,53,738164,171003046
Hawaii,Male,0-.99 years,0,8372,1893263
Hawaii,Male,01-04 years,0,35513,7968874
Hawaii,Male,05-14 years,0,89158,21520591
Hawaii,Male,15-24 years,0,76311,21603341
Hawaii,Male,25-34 years,2,90283,22791780
Hawaii,Male,35-44 years,5,90482,21420401
Hawaii,Male,45-54 years,17,85695,20492996
Hawaii,Male,55-64 years,37,92235,21075426
Hawaii,Male,65-74 years,63,78167,15361155
Hawaii,Male,75-84 years,53,35697,6989539
Hawaii,Male,85 years and over,48,710831,165470228
Idaho,Female,0-.99 years,0,10525,1809703
Idaho,Female,01-04 years,0,44778,7620035
Idaho,Female,05-14 years,0,128283,20518881
Idaho,Female,15-24 years,0,130012,20981911
Idaho,Female,25-34 years,0,116894,22449525
Idaho,Female,35-44 years,9,116279,21276445
Idaho,Female,45-54 years,21,101702,20563411
Idaho,Female,55-64 years,46,113295,21973114
Idaho,Female,65-74 years,124,94443,17208126
Idaho,Female,75-84 years,165,45709,8832725
Idaho,Female,85 years and over,288,937092,171003046
Idaho,Male,0-.99 years,0,11028,1893263
Idaho,Male,01-04 years,0,47211,7968874
Idaho,Male,05-14 years,0,134827,21520591
Idaho,Male,15-24 years,2,131105,21603341
Idaho,Male,25-34 years,7,120569,22791780
Idaho,Male,35-44 years,20,120311,21420401
Idaho,Male,45-54 years,28,106615,20492996
Idaho,Male,55-64 years,78,110271,21075426
Idaho,Male,65-74 years,208,91537,15361155
Idaho,Male,75-84 years,301,41284,6989539
Idaho,Male,85 years and over,263,937532,165470228
Illinois,Female,0-.99 years,0,68423,1809703
Illinois,Female,01-04 years,0,291314,7620035
Illinois,Female,05-14 years,0,791662,20518881
Illinois,Female,15-24 years,10,812000,20981911
Illinois,Female,25-34 years,41,864960,22449525
Illinois,Female,35-44 years,85,834790,21276445
Illinois,Female,45-54 years,234,804634,20563411
Illinois,Female,55-64 years,652,853027,21973114
Illinois,Female,65-74 years,1294,646886,17208126
Illinois,Female,75-84 years,1945,335918,8832725
Illinois,Female,85 years and over,3435,6621120,171003046
Illinois,Male,0-.99 years,0,71503,1893263
Illinois,Male,01-04 years,0,304127,7968874
Illinois,Male,05-14 years,0,828077,21520591
Illinois,Male,15-24 years,16,839386,21603341
Illinois,Male,25-34 years,74,876775,22791780
Illinois,Male,35-44 years,204,846601,21420401
Illinois,Male,45-54 years,527,804939,20492996
Illinois,Male,55-64 years,1195,824817,21075426
Illinois,Male,65-74 years,2168,575281,15361155
Illinois,Male,75-84 years,2482,254402,6989539
Illinois,Male,85 years and over,2355,6391198,165470228
Indiana,Female,0-.99 years,0,39131,1809703
Indiana,Female,01-04 years,0,164003,7620035
Indiana,Female,05-14 years,0,442186,20518881
Indiana,Female,15-24 years,8,454713,20981911
Indiana,Female,25-34 years,28,440344,22449525
Indiana,Female,35-44 years,40,422860,21276445
Indiana,Female,45-54 years,113,410462,20563411
Indiana,Female,55-64 years,350,446770,21973114
Indiana,Female,65-74 years,784,345433,17208126
Indiana,Female,75-84 years,1307,176515,8832725
Indiana,Female,85 years and over,2178,3501305,171003046
Indiana,Male,0-.99 years,0,41032,1893263
Indiana,Male,01-04 years,0,172637,7968874
